Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
2018-1-6,"Turkey Breast, Skin Eaten","1.06 FDA Serving Size",165.60,0.00,0.00,59.59,0.04,0.10,7.03,0.49,0.26,0.19,2.70,73.80,0.00,4.50,0.24,0.18,11.70,0.04,0.83,19.80,0.02,140.40,160.20,19.62,55.80,0.87,0.00,0.00,0.00,0.00,0.00,6.68,67.50,2.61,0.09,1.27,1.42,1.87,0.14,0.32,0.74,1.26,1.82,2.04,0.67,0.97,24.65,1.03,0.28,0.81,1.21
2018-1-6,"Turkey wing, skin eaten","1.00 medium - from 12 1/2 lb turkey",398.46,0.00,0.00,103.51,0.09,0.23,9.97,1.02,0.73,0.59,10.44,198.36,0.00,6.96,0.30,0.00,41.76,0.10,2.54,43.50,0.03,342.78,462.84,52.03,106.14,3.65,0.00,0.00,0.00,0.00,0.00,21.63,140.94,8.11,0.36,4.61,5.12,5.90,0.44,0.55,1.39,2.31,3.62,4.20,1.30,1.84,47.64,2.04,0.51,1.74,2.44
2018-1-6,"Stuffed Olives","12.00 extra large",114.84,0.00,0.00,59.62,0.02,0.01,0.19,0.02,0.02,0.00,2.38,311.26,0.00,0.00,3.02,1.11,41.18,0.10,0.39,8.71,0.02,3.17,33.26,0.71,1232.35,0.03,3.04,2.61,0.00,0.02,0.43,12.13,0.00,8.96,0.07,0.96,1.04,1.61,0.00,0.00,0.02,0.03,0.05,0.03,0.01,0.03,0.82,0.03,0.00,0.02,0.04
2018-1-6,"Broccoli, Cooked from Frozen","3.00 FDA Serving Size",71.40,0.00,0.00,231.34,0.14,0.21,1.17,0.70,0.33,0.00,142.80,2578.05,102.26,0.00,2.88,224.65,84.15,0.09,1.56,33.15,0.57,124.95,362.10,1.79,28.05,0.71,13.64,7.65,1.73,3.75,5.99,0.31,0.00,0.02,0.11,0.03,0.14,0.05,0.00,0.06,0.14,0.31,0.37,0.40,0.09,0.24,7.90,0.26,0.08,0.18,0.36
2018-1-6,"Kimchi","0.73 cup, cut pieces",21.55,0.00,0.00,103.14,0.04,0.07,0.94,0.11,0.18,0.03,46.09,2747.81,41.14,0.00,0.16,40.73,79.61,0.06,0.79,16.00,0.16,41.31,233.93,0.80,186.86,0.22,3.23,0.93,0.50,1.43,2.30,0.39,0.00,0.05,0.11,0.06,0.17,0.07,0.00,0.03,0.04,0.10,0.14,0.13,0.03,0.07,2.04,0.08,0.02,0.05,0.10
2018-1-6,"Moser Roth, Finest Dark, 85% Cocoa","1.00 Bar",149.28,,,,,,,,,,,,,,,,,,,,,,,,25.00,,5.10,,,3.50,5.10,12.50,,,,,,7.70,,,,,,,,,2.80,,,,
2018-1-7,"Centrum, Silver Men 50+","1.00 Tablet",,,,,1.50,1.70,20.00,10.00,6.00,100.00,300.00,3500.00,120.00,1000.00,40.27,60.00,210.00,0.50,,75.00,4.00,20.00,80.00,21.00,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-7,"Nature Made, Fish Oil 1200 mg","1.00 x 2.0 Softgels",35.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,3.00,25.00,0.50,0.72,,1.00,1.00,,,,,,,,,0.50,,,,
2018-1-7,"Bulk Supplements, Creatine Monohydrate","5.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-7,"Spring Valley, Magnesium Citrate","2.00 capsule",,,,,,,,,,,,,,,,,,,,200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-7,"Member's Mark, Vitamin D3, 5000 IU","1.00 Softgel",,,,,,,,,,,,,,5000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-7,"Turkey thigh, skin eaten","1.00 small - from 11 to 13 lb turkey",459.38,0.00,0.00,137.50,0.13,0.81,15.84,2.24,0.96,3.70,20.07,104.81,0.00,33.45,0.18,0.00,37.91,0.28,3.23,60.21,0.04,479.45,508.44,67.35,234.15,7.47,0.16,0.00,0.00,0.00,0.16,22.19,298.82,8.01,0.38,5.89,6.39,6.53,0.31,0.56,1.58,1.68,4.07,4.83,1.53,1.92,60.81,2.12,0.61,1.73,1.92
2018-1-7,"Turkey wing, skin eaten","1.00 medium - from 12 1/2 lb turkey",398.46,0.00,0.00,103.51,0.09,0.23,9.97,1.02,0.73,0.59,10.44,198.36,0.00,6.96,0.30,0.00,41.76,0.10,2.54,43.50,0.03,342.78,462.84,52.03,106.14,3.65,0.00,0.00,0.00,0.00,0.00,21.63,140.94,8.11,0.36,4.61,5.12,5.90,0.44,0.55,1.39,2.31,3.62,4.20,1.30,1.84,47.64,2.04,0.51,1.74,2.44
2018-1-7,"Turkey Breast, Skin Eaten","0.81 cup",368.00,0.00,0.00,132.42,0.08,0.23,15.61,1.09,0.58,0.42,6.00,164.00,0.00,10.00,0.54,0.40,26.00,0.09,1.84,44.00,0.04,312.00,356.00,43.60,124.00,1.94,0.00,0.00,0.00,0.00,0.00,14.84,150.00,5.80,0.20,2.82,3.16,4.16,0.30,0.72,1.65,2.80,4.04,4.54,1.48,2.15,54.78,2.29,0.62,1.80,2.68
2018-1-7,"Salami, Hard, Beef and Pork","0.61 cup, cut pieces",321.48,0.00,0.00,35.03,0.33,0.17,5.19,0.86,0.38,0.98,0.00,30.62,0.00,30.62,0.54,0.00,20.41,0.08,1.16,17.01,0.81,163.29,308.73,28.58,1493.45,2.27,0.61,0.00,0.00,0.22,0.61,26.92,91.85,12.52,0.18,3.74,4.16,9.71,0.41,0.20,0.73,0.85,1.47,1.59,0.49,0.74,17.92,0.79,0.21,0.71,0.91
2018-1-7,"Chorizo","2.00 Serving (11 slice - 1-3/4"" diameter x 1/8"" thick)",500.50,0.00,0.00,35.04,0.69,0.33,5.64,1.23,0.58,2.20,2.20,0.00,0.00,67.10,0.24,1.76,8.80,0.09,1.75,19.80,0.04,165.00,437.80,23.21,1358.50,3.75,2.05,0.00,0.00,1.94,2.05,42.10,96.80,20.24,0.40,3.32,3.81,15.82,0.21,0.30,0.79,2.43,1.88,2.66,0.52,1.26,26.51,1.62,0.31,0.82,1.01
2018-1-7,"Eggs, Cooked","3.00 large",232.50,0.00,0.00,111.93,0.10,0.77,0.10,2.10,0.18,1.67,66.00,780.00,0.00,130.50,1.55,0.45,75.00,0.02,1.79,15.00,0.04,258.00,189.00,46.20,186.00,1.58,1.68,0.00,0.00,1.68,1.68,15.92,559.50,6.12,0.10,2.01,2.12,4.90,0.00,0.44,0.45,1.03,1.61,1.36,0.59,1.00,18.87,0.91,0.23,0.77,1.15
2018-1-7,"Moser Roth, Finest Dark, 85% Cocoa","1.00 Bar",149.28,,,,,,,,,,,,,,,,,,,,,,,,25.00,,5.10,,,3.50,5.10,12.50,,,,,,7.70,,,,,,,,,2.80,,,,
2018-1-7,"Turkey Breast, Skin Eaten","0.77 cup",345.92,0.00,0.00,124.47,0.08,0.22,14.68,1.03,0.55,0.39,5.64,154.16,0.00,9.40,0.51,0.38,24.44,0.08,1.73,41.36,0.03,293.28,334.64,40.98,116.56,1.82,0.00,0.00,0.00,0.00,0.00,13.95,141.00,5.45,0.19,2.65,2.97,3.91,0.28,0.67,1.55,2.63,3.80,4.27,1.39,2.02,51.49,2.15,0.59,1.69,2.52
2018-1-8,"Centrum, Silver Men 50+","1.00 Tablet",,,,,1.50,1.70,20.00,10.00,6.00,100.00,300.00,3500.00,120.00,1000.00,40.27,60.00,210.00,0.50,,75.00,4.00,20.00,80.00,21.00,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-8,"Nature Made, Fish Oil 1200 mg","1.00 x 2.0 Softgels",35.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,3.00,25.00,0.50,0.72,,1.00,1.00,,,,,,,,,0.50,,,,
2018-1-8,"Bulk Supplements, Creatine Monohydrate","5.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-8,"Spring Valley, Magnesium Citrate","2.00 capsule",,,,,,,,,,,,,,,,,,,,200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-8,"Member's Mark, Vitamin D3, 5000 IU","1.00 Softgel",,,,,,,,,,,,,,5000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-8,"Isopure, Protein Powder, Creamy Vanilla, ","0.50 x 2.0 Scoopfuls",105.00,,,,0.38,0.43,5.00,2.50,0.50,1.50,100.00,1250.00,15.00,,5.03,20.00,300.00,,5.40,100.00,0.50,250.00,375.00,17.50,160.00,,0.00,0.00,,0.00,0.00,0.50,2.50,,,,,0.25,0.00,,,,,,,,25.00,,,,
2018-1-8,"Turkey Breast, Skin Eaten","0.90 cup",404.80,0.00,0.00,145.66,0.09,0.25,17.18,1.20,0.64,0.46,6.60,180.40,0.00,11.00,0.59,0.44,28.60,0.10,2.02,48.40,0.04,343.20,391.60,47.96,136.40,2.13,0.00,0.00,0.00,0.00,0.00,16.32,165.00,6.38,0.22,3.10,3.48,4.58,0.33,0.79,1.81,3.08,4.44,5.00,1.63,2.36,60.26,2.51,0.69,1.98,2.95
2018-1-8,"Planters, Peanuts, Salted","4.05 x 35.0 Each",688.49,0.00,,,,,16.20,,,,,0.00,0.00,,12.21,,81.00,1.21,5.83,162.00,2.02,404.99,809.99,,465.74,,20.25,8.10,,4.05,12.15,56.70,0.00,28.35,,,18.22,8.10,,,,,,,,,28.35,,,,
2018-1-8,"Turkey Breast, Skin Eaten","1.12 cup",506.00,0.00,0.00,182.08,0.11,0.32,21.47,1.50,0.80,0.58,8.25,225.50,0.00,13.75,0.74,0.55,35.75,0.12,2.53,60.50,0.05,429.00,489.50,59.95,170.50,2.67,0.00,0.00,0.00,0.00,0.00,20.41,206.25,7.98,0.27,3.88,4.35,5.72,0.41,0.99,2.27,3.85,5.55,6.25,2.04,2.95,75.32,3.14,0.86,2.48,3.69
2018-1-8,"Cranberries, Fresh","1.01 cup, chopped",51.06,0.00,0.00,96.93,0.01,0.02,0.11,0.33,0.06,0.00,1.11,69.93,15.54,0.00,1.47,5.55,8.88,0.06,0.26,6.66,0.30,12.21,88.80,0.11,2.22,0.10,13.29,4.00,0.00,4.74,9.29,0.14,0.00,0.02,0.02,0.04,0.06,0.01,0.00,0.00,0.02,0.04,0.06,0.04,0.00,0.04,0.51,0.03,0.00,0.04,0.05
2018-1-8,"Mushrooms, Raw","1.18 cup, whole pieces",24.95,0.00,0.00,104.84,0.09,0.46,4.09,1.70,0.12,0.05,19.28,0.00,2.38,7.94,0.01,0.00,3.40,0.36,0.57,10.21,0.05,97.52,360.61,10.55,5.67,0.59,3.70,1.13,0.67,2.25,2.56,0.39,0.00,0.00,0.00,0.18,0.18,0.06,0.00,0.01,0.06,0.09,0.14,0.12,0.04,0.10,3.50,0.12,0.04,0.05,0.26
2018-1-8,"Radish, Raw","1.23 cup",36.29,0.00,0.00,216.07,0.03,0.09,0.58,0.37,0.16,0.00,56.70,15.88,33.57,0.00,0.00,3.18,56.70,0.11,0.77,22.68,0.16,45.36,528.44,1.36,88.45,0.64,7.71,3.63,0.00,4.22,4.08,0.23,0.00,0.04,0.07,0.04,0.11,0.07,0.00,0.02,0.03,0.05,0.07,0.07,0.02,0.08,1.54,0.05,0.02,0.02,0.08
2018-1-8,"Moser Roth, Finest Dark, 85% Cocoa","1.00 Bar",149.28,,,,,,,,,,,,,,,,,,,,,,,,25.00,,5.10,,,3.50,5.10,12.50,,,,,,7.70,,,,,,,,,2.80,,,,
2018-1-8,"Almonds, Dry Roasted, Salted","1.07 FDA Serving Size",191.36,0.00,0.00,0.77,0.02,0.38,1.16,0.10,0.04,0.00,17.60,0.32,0.00,0.00,7.65,0.00,85.76,0.35,1.19,89.28,0.71,150.72,228.16,0.64,159.36,1.06,6.72,3.49,0.23,1.56,3.24,16.81,0.00,10.58,0.00,4.14,4.15,1.31,0.00,0.07,0.17,0.24,0.47,0.18,0.05,0.36,6.71,0.19,0.07,0.14,0.27
2018-1-9,"Centrum, Silver Men 50+","1.00 Tablet",,,,,1.50,1.70,20.00,10.00,6.00,100.00,300.00,3500.00,120.00,1000.00,40.27,60.00,210.00,0.50,,75.00,4.00,20.00,80.00,21.00,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-9,"Nature Made, Fish Oil 1200 mg","1.00 x 2.0 Softgels",35.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,3.00,25.00,0.50,0.72,,1.00,1.00,,,,,,,,,0.50,,,,
2018-1-9,"Bulk Supplements, Creatine Monohydrate","5.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-9,"Spring Valley, Magnesium Citrate","2.00 capsule",,,,,,,,,,,,,,,,,,,,200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-9,"Member's Mark, Vitamin D3, 5000 IU","1.00 Softgel",,,,,,,,,,,,,,5000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-9,"Isopure, Protein Powder, Creamy Vanilla, ","0.50 x 2.0 Scoopfuls",105.00,,,,0.38,0.43,5.00,2.50,0.50,1.50,100.00,1250.00,15.00,,5.03,20.00,300.00,,5.40,100.00,0.50,250.00,375.00,17.50,160.00,,0.00,0.00,,0.00,0.00,0.50,2.50,,,,,0.25,0.00,,,,,,,,25.00,,,,
2018-1-9,"Almonds, Dry Roasted, Salted","0.63 cup, ground",358.80,0.00,0.00,1.45,0.05,0.72,2.18,0.19,0.08,0.00,33.00,0.60,0.00,0.00,14.34,0.00,160.80,0.66,2.24,167.40,1.34,282.60,427.80,1.20,298.80,1.99,12.61,6.54,0.44,2.92,6.07,31.52,0.00,19.85,0.00,7.77,7.77,2.46,0.00,0.13,0.32,0.45,0.88,0.34,0.09,0.67,12.58,0.36,0.13,0.27,0.51
2018-1-9,"Turkey Breast, Skin Eaten","0.77 cup",345.92,0.00,0.00,124.47,0.08,0.22,14.68,1.03,0.55,0.39,5.64,154.16,0.00,9.40,0.51,0.38,24.44,0.08,1.73,41.36,0.03,293.28,334.64,40.98,116.56,1.82,0.00,0.00,0.00,0.00,0.00,13.95,141.00,5.45,0.19,2.65,2.97,3.91,0.28,0.67,1.55,2.63,3.80,4.27,1.39,2.02,51.49,2.15,0.59,1.69,2.52
2018-1-9,"Aldi-benner Company, Southern Grove, Sunflower Kernels, Roasted & Salted","3.00 x 0.25 cup",540.12,,,,,,,,,,,0.00,0.00,,,,59.64,,4.32,,,,,,630.00,,12.00,8.99,,3.00,3.02,42.00,0.00,,,,,6.00,0.00,,,,,,,,24.00,,,,
2018-1-9,"Turkey Breast, Skin Eaten","0.75 cup",336.72,0.00,0.00,121.16,0.08,0.21,14.29,1.00,0.53,0.38,5.49,150.06,0.00,9.15,0.49,0.37,23.79,0.08,1.68,40.26,0.03,285.48,325.74,39.89,113.46,1.78,0.00,0.00,0.00,0.00,0.00,13.58,137.25,5.31,0.18,2.58,2.89,3.81,0.27,0.66,1.51,2.56,3.69,4.16,1.36,1.97,50.12,2.09,0.57,1.65,2.46
2018-1-9,"Broccoli, Cooked From Fresh","3.00 small - stalk - 5"" long",147.00,0.00,0.00,374.85,0.26,0.52,2.32,2.59,0.84,0.00,453.60,6501.60,272.58,0.00,8.48,592.20,168.00,0.26,2.81,88.20,0.81,281.40,1230.60,6.72,172.20,1.89,30.16,13.86,0.00,5.84,16.30,1.72,0.00,0.17,0.50,0.21,0.71,0.33,0.00,0.13,0.26,0.39,0.62,0.65,0.18,0.49,10.00,0.40,0.14,0.25,0.58
2018-1-9,"Cranberries, Fresh","1.03 x 0.5 cup, chopped",26.08,0.00,0.00,49.51,0.01,0.01,0.06,0.17,0.03,0.00,0.57,35.72,7.94,0.00,0.75,2.83,4.54,0.03,0.13,3.40,0.15,6.24,45.36,0.06,1.13,0.05,6.79,2.04,0.00,2.42,4.75,0.07,0.00,0.01,0.01,0.02,0.03,0.00,0.00,0.00,0.01,0.02,0.03,0.02,0.00,0.02,0.26,0.02,0.00,0.02,0.03
2018-1-9,"Mushrooms, Raw","1.18 cup, whole pieces",24.95,0.00,0.00,104.84,0.09,0.46,4.09,1.70,0.12,0.05,19.28,0.00,2.38,7.94,0.01,0.00,3.40,0.36,0.57,10.21,0.05,97.52,360.61,10.55,5.67,0.59,3.70,1.13,0.67,2.25,2.56,0.39,0.00,0.00,0.00,0.18,0.18,0.06,0.00,0.01,0.06,0.09,0.14,0.12,0.04,0.10,3.50,0.12,0.04,0.05,0.26
2018-1-9,"Almonds, Dry Roasted, Salted","0.56 cup, ground",316.94,0.00,0.00,1.28,0.04,0.63,1.93,0.17,0.07,0.00,29.15,0.53,0.00,0.00,12.67,0.00,142.04,0.58,1.98,147.87,1.18,249.63,377.89,1.06,263.94,1.75,11.14,5.78,0.39,2.58,5.36,27.85,0.00,17.53,0.00,6.86,6.87,2.17,0.00,0.11,0.28,0.39,0.77,0.30,0.08,0.59,11.11,0.32,0.11,0.24,0.45
2018-1-9,"Radish, Raw","1.23 cup",36.29,0.00,0.00,216.07,0.03,0.09,0.58,0.37,0.16,0.00,56.70,15.88,33.57,0.00,0.00,3.18,56.70,0.11,0.77,22.68,0.16,45.36,528.44,1.36,88.45,0.64,7.71,3.63,0.00,4.22,4.08,0.23,0.00,0.04,0.07,0.04,0.11,0.07,0.00,0.02,0.03,0.05,0.07,0.07,0.02,0.08,1.54,0.05,0.02,0.02,0.08
2018-1-10,"Centrum, Silver Men 50+","1.00 Tablet",,,,,1.50,1.70,20.00,10.00,6.00,100.00,300.00,3500.00,120.00,1000.00,40.27,60.00,210.00,0.50,,75.00,4.00,20.00,80.00,21.00,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-10,"Nature Made, Fish Oil 1200 mg","1.00 x 2.0 Softgels",35.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,3.00,25.00,0.50,0.72,,1.00,1.00,,,,,,,,,0.50,,,,
2018-1-10,"Bulk Supplements, Creatine Monohydrate","5.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-10,"Spring Valley, Magnesium Citrate","1.00 capsule",,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-10,"Member's Mark, Vitamin D3, 5000 IU","1.00 Softgel",,,,,,,,,,,,,,5000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-10,"Isopure, Protein Powder, Creamy Vanilla, ","0.50 x 2.0 Scoopfuls",105.00,,,,0.38,0.43,5.00,2.50,0.50,1.50,100.00,1250.00,15.00,,5.03,20.00,300.00,,5.40,100.00,0.50,250.00,375.00,17.50,160.00,,0.00,0.00,,0.00,0.00,0.50,2.50,,,,,0.25,0.00,,,,,,,,25.00,,,,
2018-1-10,"Almonds, Dry Roasted, Salted","0.63 cup, ground",358.80,0.00,0.00,1.45,0.05,0.72,2.18,0.19,0.08,0.00,33.00,0.60,0.00,0.00,14.34,0.00,160.80,0.66,2.24,167.40,1.34,282.60,427.80,1.20,298.80,1.99,12.61,6.54,0.44,2.92,6.07,31.52,0.00,19.85,0.00,7.77,7.77,2.46,0.00,0.13,0.32,0.45,0.88,0.34,0.09,0.67,12.58,0.36,0.13,0.27,0.51
2018-1-10,"Turkey Breast, Skin Eaten","0.77 cup",345.92,0.00,0.00,124.47,0.08,0.22,14.68,1.03,0.55,0.39,5.64,154.16,0.00,9.40,0.51,0.38,24.44,0.08,1.73,41.36,0.03,293.28,334.64,40.98,116.56,1.82,0.00,0.00,0.00,0.00,0.00,13.95,141.00,5.45,0.19,2.65,2.97,3.91,0.28,0.67,1.55,2.63,3.80,4.27,1.39,2.02,51.49,2.15,0.59,1.69,2.52
2018-1-10,"Aldi-benner Company, Southern Grove, Sunflower Kernels, Roasted & Salted","3.00 x 0.25 cup",540.12,,,,,,,,,,,0.00,0.00,,,,59.64,,4.32,,,,,,630.00,,12.00,8.99,,3.00,3.02,42.00,0.00,,,,,6.00,0.00,,,,,,,,24.00,,,,
2018-1-10,"Chicken Drumstick, Skin Eaten","4.00 medium",477.92,0.00,0.00,143.05,0.13,0.85,16.48,2.33,1.00,3.85,20.88,109.04,0.00,34.80,0.19,0.00,39.44,0.29,3.36,62.64,0.04,498.80,528.96,70.06,243.60,7.77,0.16,0.00,0.00,0.00,0.16,23.08,310.88,8.34,0.39,6.12,6.65,6.80,0.32,0.58,1.65,1.75,4.24,5.02,1.59,1.99,63.27,2.21,0.64,1.80,1.99
2018-1-10,"Broccoli, Cooked from Frozen","3.00 FDA Serving Size",71.40,0.00,0.00,231.34,0.14,0.21,1.17,0.70,0.33,0.00,142.80,2578.05,102.26,0.00,2.88,224.65,84.15,0.09,1.56,33.15,0.57,124.95,362.10,1.79,28.05,0.71,13.64,7.65,1.73,3.75,5.99,0.31,0.00,0.02,0.11,0.03,0.14,0.05,0.00,0.06,0.14,0.31,0.37,0.40,0.09,0.24,7.90,0.26,0.08,0.18,0.36
2018-1-10,"Asparagus, Cooked from Frozen","3.00 FDA Serving Size",45.90,0.00,0.00,239.95,0.17,0.26,2.65,0.40,0.05,0.00,344.25,2055.30,62.22,0.00,2.73,204.00,45.90,0.27,1.43,25.50,0.36,124.95,438.60,9.95,7.65,1.05,4.90,4.08,0.08,0.82,0.82,1.07,0.00,0.03,0.03,0.45,0.47,0.24,0.00,0.09,0.12,0.28,0.33,0.36,0.07,0.18,7.52,0.21,0.07,0.12,0.29
2018-1-10,"Kerrygold, Salted Butter","35.00 g",250.00,,,,,,,,,,,1250.00,,,,,,,,,,,,,250.00,,,,,,,27.50,75.00,,,,,20.00,,,,,,,,,,,,,
2018-1-11,"Centrum, Silver Men 50+","1.00 Tablet",,,,,1.50,1.70,20.00,10.00,6.00,100.00,300.00,3500.00,120.00,1000.00,40.27,60.00,210.00,0.50,,75.00,4.00,20.00,80.00,21.00,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-11,"Nature Made, Fish Oil 1200 mg","1.00 x 2.0 Softgels",35.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,3.00,25.00,0.50,0.72,,1.00,1.00,,,,,,,,,0.50,,,,
2018-1-11,"Bulk Supplements, Creatine Monohydrate","5.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-11,"Spring Valley, Magnesium Citrate","2.00 capsule",,,,,,,,,,,,,,,,,,,,200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-11,"Member's Mark, Vitamin D3, 5000 IU","1.00 Softgel",,,,,,,,,,,,,,5000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-11,"Coffee, Prepared From Grounds","1.00 large or venti - each 20 fl oz",5.92,0.00,236.80,588.39,0.08,0.45,1.13,1.50,0.01,0.00,11.84,0.00,0.00,0.00,0.06,0.59,11.84,0.01,0.06,17.76,0.14,17.76,290.08,0.00,11.84,0.12,2.78,2.78,0.00,0.00,0.00,0.12,0.00,0.09,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.03,0.01,0.00,0.02,0.71,0.01,0.00,0.01,0.02
2018-1-11,"Almonds, Dry Roasted, Salted","0.63 cup, ground",358.80,0.00,0.00,1.45,0.05,0.72,2.18,0.19,0.08,0.00,33.00,0.60,0.00,0.00,14.34,0.00,160.80,0.66,2.24,167.40,1.34,282.60,427.80,1.20,298.80,1.99,12.61,6.54,0.44,2.92,6.07,31.52,0.00,19.85,0.00,7.77,7.77,2.46,0.00,0.13,0.32,0.45,0.88,0.34,0.09,0.67,12.58,0.36,0.13,0.27,0.51
2018-1-11,"Chicken Drumstick, Skin Eaten","4.00 medium",477.92,0.00,0.00,143.05,0.13,0.85,16.48,2.33,1.00,3.85,20.88,109.04,0.00,34.80,0.19,0.00,39.44,0.29,3.36,62.64,0.04,498.80,528.96,70.06,243.60,7.77,0.16,0.00,0.00,0.00,0.16,23.08,310.88,8.34,0.39,6.12,6.65,6.80,0.32,0.58,1.65,1.75,4.24,5.02,1.59,1.99,63.27,2.21,0.64,1.80,1.99
2018-1-11,"Aldi-benner Company, Southern Grove, Sunflower Kernels, Roasted & Salted","2.00 x 0.25 cup",360.08,,,,,,,,,,,0.00,0.00,,,,39.76,,2.88,,,,,,420.00,,8.00,5.99,,2.00,2.01,28.00,0.00,,,,,4.00,0.00,,,,,,,,16.00,,,,
2018-1-11,"Almonds, Dry Roasted, Salted","0.98 tbsp, chopped",47.84,0.00,0.00,0.19,0.01,0.10,0.29,0.03,0.01,0.00,4.40,0.08,0.00,0.00,1.91,0.00,21.44,0.09,0.30,22.32,0.18,37.68,57.04,0.16,39.84,0.26,1.68,0.87,0.06,0.39,0.81,4.20,0.00,2.65,0.00,1.04,1.04,0.33,0.00,0.02,0.04,0.06,0.12,0.05,0.01,0.09,1.68,0.05,0.02,0.04,0.07
2018-1-11,"Kale, Raw","1.00 FDA Serving Size",41.67,0.00,0.00,71.47,0.09,0.11,0.85,0.08,0.23,0.00,119.92,8496.35,102.06,0.00,1.31,599.42,127.57,1.27,1.25,39.97,0.56,78.24,417.59,0.77,32.32,0.48,7.44,3.06,0.43,1.92,4.38,0.79,0.00,0.04,0.15,0.12,0.29,0.08,0.00,0.04,0.06,0.17,0.20,0.17,0.03,0.14,3.64,0.13,0.03,0.10,0.15
2018-1-11,"Kimchi","1.16 FDA Serving Size",19.39,0.00,0.00,92.82,0.03,0.06,0.85,0.10,0.17,0.03,41.48,2473.03,37.02,0.00,0.14,36.65,71.65,0.05,0.71,14.40,0.14,37.18,210.54,0.72,168.18,0.20,2.90,0.83,0.45,1.29,2.07,0.35,0.00,0.05,0.10,0.06,0.16,0.06,0.00,0.02,0.04,0.09,0.12,0.12,0.03,0.06,1.84,0.07,0.02,0.05,0.09
2018-1-11,"Tex Max Casserole from Diet Doctor","1.00 Serving",890.62,0.00,0.00,208.19,0.15,0.67,8.89,1.55,0.78,4.83,33.86,2327.15,5.37,15.88,2.09,9.92,551.70,0.29,6.36,70.57,0.20,631.37,802.44,45.83,788.59,12.82,9.72,2.04,1.15,4.72,7.68,67.55,264.45,19.99,0.21,1.76,2.05,35.31,2.23,0.55,1.96,2.89,4.92,4.92,1.53,2.53,59.68,2.27,0.43,2.10,3.19
2018-1-12,"Centrum, Silver Men 50+","1.00 Tablet",,,,,1.50,1.70,20.00,10.00,6.00,100.00,300.00,3500.00,120.00,1000.00,40.27,60.00,210.00,0.50,,75.00,4.00,20.00,80.00,21.00,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,
