Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
3/29/2018,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/29/2018,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/29/2018,"Chicken Drumstick, Skin Eaten",3.00 medium,358.44,0,0,107.29,0.1,0.64,12.36,1.75,0.75,2.89,15.66,81.78,0,26.1,0.14,0,29.58,0.22,2.52,46.98,0.03,374.1,396.72,52.55,182.7,5.83,0.12,0,0,0,0.12,17.31,233.16,6.25,0.29,4.59,4.99,5.1,0.24,0.44,1.24,1.31,3.18,3.77,1.19,1.49,47.45,1.66,0.48,1.35,1.49
3/29/2018,"Louisiana Brand, Wing Sauce",2.00 Tbsp,20.1,,,,,,,,,,,999.9,24,,,,0,,0,,,,,,999.9,,2,,,,2,,,,,,,,,,,,,,,,0,,,,
3/29/2018,"Radish, Raw","0.96 cup, sliced",17.76,0,0,105.75,0.01,0.04,0.28,0.18,0.08,0,27.75,7.77,16.43,0,0,1.55,27.75,0.06,0.38,11.1,0.08,22.2,258.63,0.67,43.29,0.31,3.77,1.78,0,2.06,2,0.11,0,0.02,0.03,0.02,0.05,0.04,0,0.01,0.01,0.02,0.03,0.04,0.01,0.04,0.75,0.03,0.01,0.01,0.04
3/29/2018,Walnuts,"1.00 Serving (6 tbsp, ground)",196.2,0,0,1.22,0.1,0.05,0.34,0.17,0.16,0,29.4,6,0.39,0,0.21,0.81,29.4,0.48,0.87,47.4,1.02,103.8,132.3,1.47,0.6,0.93,4.11,2.01,0.02,0.78,2.1,19.56,0,2.68,2.72,11.43,14.15,1.84,0,0.06,0.12,0.19,0.35,0.13,0.07,0.21,4.57,0.18,0.05,0.12,0.23
3/29/2018,"Chicken Drumstick, Skin Eaten",3.00 medium,358.44,0,0,107.29,0.1,0.64,12.36,1.75,0.75,2.89,15.66,81.78,0,26.1,0.14,0,29.58,0.22,2.52,46.98,0.03,374.1,396.72,52.55,182.7,5.83,0.12,0,0,0,0.12,17.31,233.16,6.25,0.29,4.59,4.99,5.1,0.24,0.44,1.24,1.31,3.18,3.77,1.19,1.49,47.45,1.66,0.48,1.35,1.49
3/29/2018,"Louisiana Brand, Wing Sauce",2.00 Tbsp,20.1,,,,,,,,,,,999.9,24,,,,0,,0,,,,,,999.9,,2,,,,2,,,,,,,,,,,,,,,,0,,,,
3/29/2018,"Chicken Drumstick, Skin Eaten",3.00 medium,358.44,0,0,107.29,0.1,0.64,12.36,1.75,0.75,2.89,15.66,81.78,0,26.1,0.14,0,29.58,0.22,2.52,46.98,0.03,374.1,396.72,52.55,182.7,5.83,0.12,0,0,0,0.12,17.31,233.16,6.25,0.29,4.59,4.99,5.1,0.24,0.44,1.24,1.31,3.18,3.77,1.19,1.49,47.45,1.66,0.48,1.35,1.49
3/29/2018,"Louisiana Brand, Wing Sauce",2.00 Tbsp,20.1,,,,,,,,,,,999.9,24,,,,0,,0,,,,,,999.9,,2,,,,2,,,,,,,,,,,,,,,,0,,,,
3/29/2018,"Radish, Raw","0.96 cup, sliced",17.76,0,0,105.75,0.01,0.04,0.28,0.18,0.08,0,27.75,7.77,16.43,0,0,1.55,27.75,0.06,0.38,11.1,0.08,22.2,258.63,0.67,43.29,0.31,3.77,1.78,0,2.06,2,0.11,0,0.02,0.03,0.02,0.05,0.04,0,0.01,0.01,0.02,0.03,0.04,0.01,0.04,0.75,0.03,0.01,0.01,0.04
3/29/2018,"Sincerely, Brigitte, Garlic Basil Cheese",57.00 g,223.93,,,,,,,,,,,610.71,0,,,,610.71,,0,,,,,,346.07,,2.04,0,,0,2.04,16.29,61.07,,,,,10.18,0,,,,,,,,18.32,,,,
3/29/2018,"Broccoli, Cooked from Frozen",1.00 FDA Serving Size,23.8,0,0,77.11,0.05,0.07,0.39,0.23,0.11,0,47.6,859.35,34.09,0,0.96,74.88,28.05,0.03,0.52,11.05,0.19,41.65,120.7,0.6,9.35,0.24,4.55,2.55,0.58,1.25,2,0.1,0,0.01,0.04,0.01,0.05,0.02,0,0.02,0.05,0.1,0.12,0.13,0.03,0.08,2.64,0.09,0.03,0.06,0.12
3/29/2018,Colby Jack Cheese,1.02 stick - each 1 oz,111.22,0,0,11.49,0,0.11,0.03,0.06,0.02,0.24,5.22,255.64,0,6.67,0.08,0.75,207.5,0.01,0.21,7.69,0,130.65,30.16,4.21,174.58,0.88,0.47,0,0,0.15,0.47,9.05,26.68,2.61,0.08,0.19,0.27,5.7,0.22,0.04,0.25,0.43,0.67,0.58,0.18,0.37,6.99,0.25,0.09,0.34,0.47
3/30/2018,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2018,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,
3/30/2018,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2018,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2018,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2018,"Chicken Drumstick, Skin Eaten",3.00 medium,358.44,0,0,107.29,0.1,0.64,12.36,1.75,0.75,2.89,15.66,81.78,0,26.1,0.14,0,29.58,0.22,2.52,46.98,0.03,374.1,396.72,52.55,182.7,5.83,0.12,0,0,0,0.12,17.31,233.16,6.25,0.29,4.59,4.99,5.1,0.24,0.44,1.24,1.31,3.18,3.77,1.19,1.49,47.45,1.66,0.48,1.35,1.49
3/30/2018,"Louisiana Brand, Wing Sauce",2.00 Tbsp,20.1,,,,,,,,,,,999.9,24,,,,0,,0,,,,,,999.9,,2,,,,2,,,,,,,,,,,,,,,,0,,,,
3/30/2018,"Almonds, Dry Roasted, Salted",1.00 FDA Serving Size,179.4,0,0,0.72,0.02,0.36,1.09,0.1,0.04,0,16.5,0.3,0,0,7.17,0,80.4,0.33,1.12,83.7,0.67,141.3,213.9,0.6,149.4,0.99,6.3,3.27,0.22,1.46,3.03,15.76,0,9.92,0,3.88,3.89,1.23,0,0.06,0.16,0.22,0.44,0.17,0.05,0.34,6.29,0.18,0.06,0.13,0.25
3/30/2018,"Chicken Drumstick, Skin Eaten",3.00 medium,358.44,0,0,107.29,0.1,0.64,12.36,1.75,0.75,2.89,15.66,81.78,0,26.1,0.14,0,29.58,0.22,2.52,46.98,0.03,374.1,396.72,52.55,182.7,5.83,0.12,0,0,0,0.12,17.31,233.16,6.25,0.29,4.59,4.99,5.1,0.24,0.44,1.24,1.31,3.18,3.77,1.19,1.49,47.45,1.66,0.48,1.35,1.49
3/30/2018,"Louisiana Brand, Wing Sauce",2.00 Tbsp,20.1,,,,,,,,,,,999.9,24,,,,0,,0,,,,,,999.9,,2,,,,2,,,,,,,,,,,,,,,,0,,,,
3/30/2018,"Aldi-benner Company, Southern Grove, Sunflower Kernels, Roasted & Salted",1.00 x 0.25 cup,180.04,,,,,,,,,,,0,0,,,,19.88,,1.44,,,,,,210,,4,3,,1,1.01,14,0,,,,,2,0,,,,,,,,8,,,,
3/30/2018,"Chicken Wing, Skin Eaten",6.00 medium,548.64,0,0,128.3,0.14,0.33,13.65,1.86,1.21,0.76,19.44,84.24,0,15.12,1.49,0.65,38.88,0.09,1.81,41.04,0.02,317.52,457.92,55.08,211.68,3.54,0,0,0,0,0,36.44,304.56,16.64,0.41,7.16,7.75,10.75,0.18,0.54,1.92,2.52,4.25,4.94,1.34,2.07,51.39,2.3,0.65,1.85,2.66
3/31/2018,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2018,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,
3/31/2018,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2018,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2018,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2018,Walnuts,"0.53 Serving (6 tbsp, ground)",104.64,0,0,0.65,0.05,0.02,0.18,0.09,0.09,0,15.68,3.2,0.21,0,0.11,0.43,15.68,0.25,0.47,25.28,0.55,55.36,70.56,0.78,0.32,0.49,2.19,1.07,0.01,0.42,1.12,10.43,0,1.43,1.45,6.09,7.55,0.98,0,0.03,0.06,0.1,0.19,0.07,0.04,0.11,2.44,0.1,0.03,0.06,0.12
3/31/2018,"Almonds, Dry Roasted, Salted",0.73 FDA Serving Size,131.56,0,0,0.53,0.02,0.26,0.8,0.07,0.03,0,12.1,0.22,0,0,5.26,0,58.96,0.24,0.82,61.38,0.49,103.62,156.86,0.44,109.56,0.73,4.62,2.4,0.16,1.07,2.22,11.56,0,7.28,0,2.85,2.85,0.9,0,0.05,0.12,0.16,0.32,0.12,0.03,0.25,4.61,0.13,0.05,0.1,0.19
3/31/2018,"Chicken Drumstick, Skin Eaten",3.00 medium,358.44,0,0,107.29,0.1,0.64,12.36,1.75,0.75,2.89,15.66,81.78,0,26.1,0.14,0,29.58,0.22,2.52,46.98,0.03,374.1,396.72,52.55,182.7,5.83,0.12,0,0,0,0.12,17.31,233.16,6.25,0.29,4.59,4.99,5.1,0.24,0.44,1.24,1.31,3.18,3.77,1.19,1.49,47.45,1.66,0.48,1.35,1.49
3/31/2018,"Louisiana Brand, Wing Sauce",2.00 Tbsp,20.1,,,,,,,,,,,999.9,24,,,,0,,0,,,,,,999.9,,2,,,,2,,,,,,,,,,,,,,,,0,,,,
3/31/2018,"Mushrooms, Raw","2.36 cup, whole pieces",49.9,0,0,209.67,0.18,0.91,8.18,3.4,0.24,0.09,38.56,0,4.76,15.88,0.02,0,6.8,0.72,1.13,20.41,0.11,195.04,721.21,21.09,11.34,1.18,7.39,2.27,1.34,4.49,5.13,0.77,0,0,0,0.36,0.36,0.11,0,0.03,0.13,0.17,0.27,0.24,0.07,0.19,7.01,0.24,0.08,0.1,0.53
3/31/2018,"Radish, Raw",1.23 cup,36.29,0,0,216.07,0.03,0.09,0.58,0.37,0.16,0,56.7,15.88,33.57,0,0,3.18,56.7,0.11,0.77,22.68,0.16,45.36,528.44,1.36,88.45,0.64,7.71,3.63,0,4.22,4.08,0.23,0,0.04,0.07,0.04,0.11,0.07,0,0.02,0.03,0.05,0.07,0.07,0.02,0.08,1.54,0.05,0.02,0.02,0.08
3/31/2018,Colby Jack Cheese,0.86 slice (from pre-sliced package) - each 3/4 oz,69.03,0,0,7.13,0,0.07,0.02,0.04,0.01,0.15,3.24,158.67,0,4.14,0.05,0.47,128.79,0.01,0.13,4.77,0,81.09,18.72,2.61,108.36,0.55,0.29,0,0,0.09,0.29,5.62,16.56,1.62,0.05,0.12,0.17,3.54,0.14,0.02,0.15,0.27,0.42,0.36,0.11,0.23,4.34,0.15,0.06,0.21,0.29
3/31/2018,Walnuts,"2.00 Serving (6 tbsp, ground)",392.4,0,0,2.44,0.2,0.09,0.67,0.34,0.32,0,58.8,12,0.78,0,0.42,1.62,58.8,0.95,1.75,94.8,2.05,207.6,264.6,2.94,1.2,1.85,8.23,4.02,0.04,1.57,4.21,39.13,0,5.36,5.45,22.86,28.3,3.68,0,0.12,0.23,0.38,0.7,0.25,0.14,0.43,9.14,0.36,0.1,0.24,0.45
3/31/2018,"Michelob, Ultra",6.00 x 12.0 oz,540.38,68.28,,,,,,,,,,,,,,,,,,,,,,,,,18.01,,,,18.01,0,,,,,,,,,,,,,,,4.5,,,,
3/31/2018,"Kirkland Signature, Smoked Pulled Pork, Canada",16.00 oz,1224.7,,,,,,,,,,,0,0,,,,0,,5.72,,,,,,2540.12,,0,0,,0,0,86.18,340.19,,,,,31.75,0,,,,,,,,113.4,,,,
3/31/2018,"Beef Brisket, Visible Fat Eaten","1.27 cup, cut pieces",561.32,0,0,84.88,0.12,0.31,5.97,0.54,0.41,4.39,11.91,0,0,40.82,0.41,3.4,18.71,0.14,4.1,34.02,0.02,306.17,527.3,36.91,110.56,9.47,0,0,0,0,0,43.6,142.88,19.18,0.48,1.07,1.55,17.55,1.98,0.44,1.35,1.77,3.11,3.27,1.01,1.53,39.29,1.72,0.44,1.32,1.91
4/1/2018,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2018,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,
4/1/2018,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2018,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2018,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2018,Walnuts,"1.00 Serving (6 tbsp, ground)",196.2,0,0,1.22,0.1,0.05,0.34,0.17,0.16,0,29.4,6,0.39,0,0.21,0.81,29.4,0.48,0.87,47.4,1.02,103.8,132.3,1.47,0.6,0.93,4.11,2.01,0.02,0.78,2.1,19.56,0,2.68,2.72,11.43,14.15,1.84,0,0.06,0.12,0.19,0.35,0.13,0.07,0.21,4.57,0.18,0.05,0.12,0.23
4/1/2018,"Ham, whole without bone, cured, visible fat eaten","3.00 cup, cut pieces",582.88,0,0,272.02,3.03,0.81,16.17,1.62,1.61,2.61,12.06,0,0,128.63,1,0,32.16,0.32,5.95,56.28,0.22,787.89,1153.69,78.39,4835.86,11.58,6.03,0,0,6.03,6.03,22.23,213.05,10.53,0.24,1.93,2.17,7.28,0.06,1.27,3.01,3.69,6.68,7.14,2.22,3.63,84.14,3.74,1.01,2.76,3.65
4/1/2018,"Almonds, Dry Roasted, Salted",3.00 FDA Serving Size,538.2,0,0,2.17,0.07,1.08,3.27,0.29,0.12,0,49.5,0.9,0,0,21.51,0,241.2,0.99,3.36,251.1,2.01,423.9,641.7,1.8,448.2,2.98,18.91,9.81,0.66,4.37,9.1,47.29,0,29.77,0.01,11.65,11.66,3.68,0.01,0.19,0.48,0.67,1.31,0.51,0.14,1.01,18.86,0.54,0.19,0.4,0.76
4/1/2018,Loaded Cauliflower,4.00 Serving,785.99,0,0,372.23,0.25,0.67,2.81,2.85,0.71,1.15,202.55,2160.76,148.77,22.81,1.78,60.31,689.85,0.17,1.63,79.23,0.52,586.03,1134.22,31.94,968.61,4.2,21.62,6.2,1.37,8.88,15.43,67.36,190.75,17.43,0.34,2.85,3.3,38.13,2.3,0.22,0.81,1.44,2.36,1.99,0.64,1.29,28.96,1.3,0.55,1.27,1.79
4/1/2018,Beer,1.00 bottle - each 12 fl oz,153.25,13.9,0,327.75,0.02,0.09,1.83,0.15,0.16,0.07,21.38,0,0,0,0,0,14.26,0.02,0.07,21.38,0.03,49.9,96.23,2.14,14.26,0.04,12.65,0,0,0,12.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0
4/2/2018,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/2018,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,
4/2/2018,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/2018,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/2018,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/2018,"Almonds, Dry Roasted, Salted",1.00 FDA Serving Size,179.4,0,0,0.72,0.02,0.36,1.09,0.1,0.04,0,16.5,0.3,0,0,7.17,0,80.4,0.33,1.12,83.7,0.67,141.3,213.9,0.6,149.4,0.99,6.3,3.27,0.22,1.46,3.03,15.76,0,9.92,0,3.88,3.89,1.23,0,0.06,0.16,0.22,0.44,0.17,0.05,0.34,6.29,0.18,0.06,0.13,0.25
4/2/2018,"Chicken Drumstick, Skin Eaten",3.00 medium,358.44,0,0,107.29,0.1,0.64,12.36,1.75,0.75,2.89,15.66,81.78,0,26.1,0.14,0,29.58,0.22,2.52,46.98,0.03,374.1,396.72,52.55,182.7,5.83,0.12,0,0,0,0.12,17.31,233.16,6.25,0.29,4.59,4.99,5.1,0.24,0.44,1.24,1.31,3.18,3.77,1.19,1.49,47.45,1.66,0.48,1.35,1.49
4/2/2018,"Louisiana Brand, Wing Sauce",2.00 Tbsp,20.1,,,,,,,,,,,999.9,24,,,,0,,0,,,,,,999.9,,2,,,,2,,,,,,,,,,,,,,,,0,,,,
4/2/2018,"Chicken Drumstick, Skin Eaten",3.00 medium,358.44,0,0,107.29,0.1,0.64,12.36,1.75,0.75,2.89,15.66,81.78,0,26.1,0.14,0,29.58,0.22,2.52,46.98,0.03,374.1,396.72,52.55,182.7,5.83,0.12,0,0,0,0.12,17.31,233.16,6.25,0.29,4.59,4.99,5.1,0.24,0.44,1.24,1.31,3.18,3.77,1.19,1.49,47.45,1.66,0.48,1.35,1.49
4/2/2018,"Louisiana Brand, Wing Sauce",2.00 Tbsp,20.1,,,,,,,,,,,999.9,24,,,,0,,0,,,,,,999.9,,2,,,,2,,,,,,,,,,,,,,,,0,,,,
4/2/2018,"Almonds, Dry Roasted, Salted",1.00 FDA Serving Size,179.4,0,0,0.72,0.02,0.36,1.09,0.1,0.04,0,16.5,0.3,0,0,7.17,0,80.4,0.33,1.12,83.7,0.67,141.3,213.9,0.6,149.4,0.99,6.3,3.27,0.22,1.46,3.03,15.76,0,9.92,0,3.88,3.89,1.23,0,0.06,0.16,0.22,0.44,0.17,0.05,0.34,6.29,0.18,0.06,0.13,0.25
4/2/2018,"Beef Steak, Sirloin, No Visible Fat Eaten","1.27 cup, cut pieces",272.16,0,0,109.81,0.13,0.49,13.49,0.75,1.33,3.44,8.5,23.81,0,1.7,0.48,3.23,27.22,0.1,4.9,25.51,0.01,459.26,653.17,46.27,113.97,7.72,0,0,0,0,0,7.64,130.97,3.26,0.03,0.45,0.51,2.84,0.36,0.54,1.97,2.45,4.53,5.03,1.42,2.11,50.86,2.47,0.59,1.96,2.62
4/2/2018,"Broccoli, Cooked From Fresh","1.00 cup, chopped",54.6,0,0,139.23,0.1,0.19,0.86,0.96,0.31,0,168.48,2414.84,101.24,0,3.15,219.96,62.4,0.1,1.05,32.76,0.3,104.52,457.07,2.5,63.96,0.7,11.2,5.15,0,2.17,6.05,0.64,0,0.06,0.19,0.08,0.27,0.12,0,0.05,0.1,0.14,0.23,0.24,0.07,0.18,3.71,0.15,0.05,0.09,0.22
4/2/2018,Colby Jack Cheese,"0.50 cup, grated",217.44,0,0,22.46,0.01,0.22,0.05,0.12,0.04,0.47,10.21,499.8,0,13.04,0.15,1.47,405.68,0.02,0.42,15.03,0.01,255.43,58.97,8.22,341.33,1.72,0.92,0,0,0.29,0.92,17.69,52.16,5.11,0.15,0.37,0.53,11.14,0.44,0.07,0.48,0.85,1.31,1.14,0.36,0.72,13.68,0.49,0.18,0.66,0.91
4/3/2018,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2018,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,
4/3/2018,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2018,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2018,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2018,"Chicken Thigh, Skin Eaten",2.00 medium,391.96,0,0,96.35,0.11,0.36,11.59,1.85,0.56,0.49,11.48,0,0,8.2,0.79,3.94,39.36,0.13,2.28,36.08,0.04,270.6,388.68,28.37,157.44,4.35,0,0,0,0,0,21.58,147.6,7.92,0.4,4.46,5,5.9,0.47,0.59,1.43,2.44,3.47,3.93,1.28,1.83,46.23,1.95,0.54,1.56,2.29
4/3/2018,Walnuts,"1.00 Serving (6 tbsp, ground)",196.2,0,0,1.22,0.1,0.05,0.34,0.17,0.16,0,29.4,6,0.39,0,0.21,0.81,29.4,0.48,0.87,47.4,1.02,103.8,132.3,1.47,0.6,0.93,4.11,2.01,0.02,0.78,2.1,19.56,0,2.68,2.72,11.43,14.15,1.84,0,0.06,0.12,0.19,0.35,0.13,0.07,0.21,4.57,0.18,0.05,0.12,0.23
4/3/2018,"Chicken Drumstick, Skin Eaten",3.00 medium,358.44,0,0,107.29,0.1,0.64,12.36,1.75,0.75,2.89,15.66,81.78,0,26.1,0.14,0,29.58,0.22,2.52,46.98,0.03,374.1,396.72,52.55,182.7,5.83,0.12,0,0,0,0.12,17.31,233.16,6.25,0.29,4.59,4.99,5.1,0.24,0.44,1.24,1.31,3.18,3.77,1.19,1.49,47.45,1.66,0.48,1.35,1.49
4/3/2018,Loaded Cauliflower,220.00 g,347.99,0,0,164.8,0.11,0.3,1.24,1.26,0.31,0.51,89.67,956.65,65.86,10.1,0.79,26.7,305.42,0.08,0.72,35.08,0.23,259.46,502.16,14.14,428.84,1.86,9.57,2.74,0.61,3.93,6.83,29.82,84.45,7.72,0.15,1.26,1.46,16.88,1.02,0.1,0.36,0.64,1.04,0.88,0.28,0.57,12.82,0.58,0.24,0.56,0.79
4/3/2018,"Portabella Mushrooms, Raw",2.70 each,49.9,0,0,210.51,0.13,0.29,10.19,2.59,0.34,0.11,63.5,0,0,22.68,0.05,0,6.8,0.65,0.7,24.95,0.16,244.94,825.54,42.18,20.41,1.2,8.78,2.95,1.13,5.67,5.83,0.79,0,0.05,0,0.27,0.27,0.14,0,0.02,0.13,0.19,0.29,0.28,0.07,0.17,4.79,0.23,0.08,0.03,0.17
4/3/2018,"Radish, Raw",1.23 cup,36.29,0,0,216.07,0.03,0.09,0.58,0.37,0.16,0,56.7,15.88,33.57,0,0,3.18,56.7,0.11,0.77,22.68,0.16,45.36,528.44,1.36,88.45,0.64,7.71,3.63,0,4.22,4.08,0.23,0,0.04,0.07,0.04,0.11,0.07,0,0.02,0.03,0.05,0.07,0.07,0.02,0.08,1.54,0.05,0.02,0.02,0.08
4/3/2018,"Almonds, Dry Roasted, Salted",10.00 each,77.08,0,0,0.31,0.01,0.15,0.47,0.04,0.02,0,7.09,0.13,0,0,3.08,0,34.55,0.14,0.48,35.96,0.29,60.71,91.91,0.26,64.19,0.43,2.71,1.41,0.09,0.63,1.3,6.77,0,4.26,0,1.67,1.67,0.53,0,0.03,0.07,0.1,0.19,0.07,0.02,0.14,2.7,0.08,0.03,0.06,0.11
4/3/2018,Colby Jack Cheese,1.00 stick - each 1 oz,108.72,0,0,11.23,0,0.11,0.03,0.06,0.02,0.24,5.1,249.9,0,6.52,0.08,0.74,202.84,0.01,0.21,7.51,0,127.71,29.48,4.11,170.66,0.86,0.46,0,0,0.14,0.46,8.84,26.08,2.56,0.08,0.19,0.26,5.57,0.22,0.03,0.24,0.42,0.65,0.57,0.18,0.36,6.84,0.24,0.09,0.33,0.46
4/3/2018,"Lamb Roast, Leg, Visible Fat Eaten","0.87 cup, cut pieces",271.44,0,0,70.35,0.11,0.27,7.21,0.77,0.18,2.53,25.74,0,0,28.08,0.18,5.38,24.57,0.15,2.07,26.91,0.03,228.15,368.55,31.47,94.77,5.23,0,0,0,0,0,15.57,102.96,6.82,0.08,0.94,1.02,5.57,0.69,0.37,0.97,1.48,2.38,2.7,0.79,1.25,30.61,1.31,0.36,1.03,1.65
4/3/2018,"Lamb Roast, Leg, Visible Fat Eaten",0.91 FDA Serving Size,178.64,0,0,46.3,0.07,0.18,4.74,0.51,0.12,1.66,16.94,0,0,18.48,0.12,3.54,16.17,0.1,1.36,17.71,0.02,150.15,242.55,20.71,62.37,3.44,0,0,0,0,0,10.25,67.76,4.49,0.05,0.62,0.67,3.67,0.45,0.24,0.64,0.97,1.57,1.78,0.52,0.82,20.14,0.86,0.24,0.68,1.09
4/4/2018,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2018,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,
4/4/2018,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
