Day,Metric,Unit,Amount
2018-09-20,"Weight (Nokia)",lbs,165.475
2018-09-20,"Body Fat (Nokia)",%,8.433
2018-09-21,"Weight (Nokia)",lbs,165.677
2018-09-21,"Body Fat (Nokia)",%,9.82
2018-09-22,"Weight (Nokia)",lbs,165.761
2018-09-22,"Body Fat (Nokia)",%,9.257
2018-09-23,"Weight (Nokia)",lbs,167.093
2018-09-23,"Body Fat (Nokia)",%,8.589
2018-09-24,"Weight (Nokia)",lbs,165.805
2018-09-24,"Body Fat (Nokia)",%,7.885
2018-09-25,"Weight (Nokia)",lbs,168.138
2018-09-25,"Body Fat (Nokia)",%,7.487
